meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Prix Analix Forever ,,2021,,Prix Panorama 23,Gala ,Le Fresnoy ,Tourcoing ,France ,Growing film de Agata Wieczorek |code:1857,,
Prix Installation des Amis du Fresnoy ,,2021,,Prix Panorama 23,Gala ,Le Fresnoy ,Tourcoing ,France ,"Anba tè, adan kò installation de Magalie Mobetie |code:1866",,
Prix vidéo des Amis du Fresnoy ,,2021,,Prix Panorama 23,Gala ,Le Fresnoy ,Tourcoing ,France ,Curupira et la machine du destin film de Janaina Wagner |code:1851,,
Best film award ,European School FIlm Competition ,2021,,Queer Lisboa,,,Lisbonne,Portugal,SCUM MUTATION film de Ov |code:1322,,
Mention honorable  ,International Experimental ,2021,,Equinoxio ,Film Festival,,Bogota ,Colombie,Contraindre film de fleuryfontaine |code:1299,,
Best experimental film award ,officielle expérimentale ,2021,,Guanajuato,International Film Festival,,Guanajuato,Mexique ,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Audience award,interational competition ,2021,25 Fps - Zagreb (HR) |code:1097,,International Experimental Film Festival ,,Zagreb,Croatie,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Golden Nica ,Computer Animation ,2021,Ars Electronica - Linz (AT) |code:1100,,Gala,Ars Electronica ,Linz ,Autriche ,When the sea sends forth a forest film de Guangli Liu |code:1316,,
Mention honorable  ,Computer Animation,2021,Ars Electronica - Linz (AT) |code:1100,,Gala ,Ars Electronica ,Linz ,Autriche ,75 000 $ film de Moïse Togo |code:1333,,
Prix de l'oeuvre expérimentale de la Scam ,,2021,,Prix Scam ,Gala ,Scam ,Paris ,France ,75 000 $ film de Moïse Togo |code:1333,,
Mention spéciale ,Short experimental,2021,,Fest New Directors New Films ,,,Espinho ,Portugal,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Mention spéciale ,International Short Film Competition ,2021,,Riga International Film Festival ,International Film Festival,,Riga ,Lettonie ,Pneuma film de Fanny Béguély |code:1283,,
Prix France 3 Libre Court ,,2021,Festival Tous Courts - Aix-En-Provence (FR) |code:1135,,Film Festival,,Aix-en-Provence,France ,SCUM MUTATION film de Ov |code:1322,,
zweiB award - Best animated film ,International competition,2021,Munich Filmfest - Munich (DE) |code:1130,FilmschoolFest ,Film Festival,,Munich,Allemagne,SCUM MUTATION film de Ov |code:1322,,
Best short film + Best experimental ,,2021,,Golden Harvest Film Festival ,Film Festival,en ligne ,,,Podesta Island film de Stéphanie Roland |code:1327,,
Best Southeast Asian Film ,,2021,,Singapore International Film Festival ,International Film Festival,,Singapour,Singapour,Les Attendants film de Quý Trương Minh |code:1324,,
Hijack Visionary Filmmaker Award & Best Editing Award,Documentary Competition ,2021,,Aesthetica ,Short Film Festival,,York ,Royaume-Uni,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Grand Prix du jury ,,2021,,Festival du Film Court de Villeurbanne ,Short Film Festival,,Villeurbanne ,France ,VO film de Nicolas Gourault |code:1304,,
Mention spéciale au Prix émergences ,,2021,,Scam*,Gala ,Cent-Quatre,Paris ,France ,They Dream in My Bones installation de Faye Formisano |code:1865,,
Prix émergences ,,2021,,Scam*,Gala ,Cent-Quatre,Paris ,France ,VO film de Nicolas Gourault |code:1304,,
Mention spéciale,Expanded Shorts ,2021,,This Human World ,International Human Rights Film Festival ,,Vienne ,Autriche ,One thousand and one attempts to be an ocean film de Yuyan Wang |code:1337,,
Mention spéciale ,Courts métrages ,2021,,Festival International du Film Documentaire de St Louis ,,,Saint-Louis ,Sénégal ,75 000 $ film de Moïse Togo |code:1333,,
Prix du meilleur court métrage ,Court métrage ,2021,,Festival International du Film de Bruxelles,International Film Festival,,Bruxelles,Belgique ,"Gwacoulou, Le foyer traditionnel film de Moïse Togo |code:1204",,
Best Film,,2020,Stuttgarter Filmwinter - Stuttgart (DE) |code:1025,,Film Festival,,Stuttgart,Allemagne,Omarska film de Varun Sasindran |code:855,,
Best film,,2020,,Minimalen,Short Film Festival,,Trondheim,Norvège,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best international short film Award,,2020,Short Waves - Poznan (PL) |code:1037,,International Film Festival,,Poznan ,Pologne ,This Means More film de Nicolas Gourault |code:1186,,
Best Animation Award ,,2020,IndieLisboa - Festival international du cinéma indépendant de Lisbonne - Lisboa (PT) |code:1059,,International Film Festival,,Lisbonne,Portugal,This Means More film de Nicolas Gourault |code:1186,,
Mention spéciale du jury,Yellow Robin,2019,,Curaçao ,International Film Festival,,Rotterdam,Pays-Bas,En Cendres film de Camila Rodríguez Triana |code:854,,
Prix Emergences,,2019,,Scam*,Gala,Cent-Quatre,Paris,France,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Prix special du jury ,Labo,2019,Festival De Clermont-Ferrand - Clermont-Ferrand (FR) |code:1015,,Film Festival,,Clermont-Ferrand,France,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Grand prix du jury ,Labo,2019,Festival De Clermont-Ferrand - Clermont-Ferrand (FR) |code:1015,,Film Festival,,Clermont-Ferrand,France,Last year when the train passed by film de Pang-Chuan Huang |code:838,,
Mention spéciale du jury,,2019,Berlinale - Berlin (DE) |code:1017,,Film Festival,,Berlin,Allemagne,Omarska film de Varun Sasindran |code:855,,
Grand Prix meilleur film,,2019,Punto De Vista - Navarra (ES) |code:1038,,International Documentary Film Festival,,Pampelune,Espagne,Una Luna de Hierro film de Francisco Rodriguez |code:785,,
Prix Doc Lounge,documentaire,2019,,Sundsvall Film Fest ,Film Festival,,Sundsvall,Suède,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Mention spéciale du jury,documentaire,2019,Regard - Saguenay (CA) |code:1047,,Film Festival,,Saguenay,Canada,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Prix du jury professionnel ,,2019,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Multimedia festival,,Clermont-Ferrand,France,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Prix du jury ,,2019,,Chalon tout court,Short Film Festival,,Châlon-sur-Saône,France,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Mention spéciale du jury,,2019,,Kiev,Short Film Festival,,Kiev,Ukraine,Omarska film de Varun Sasindran |code:855,,
Best short documentary,,2019,,Rincon,International Film Festival,,Rincon,Porto Rico ,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best short documentary,,2019,IndieLisboa - Festival international du cinéma indépendant de Lisbonne - Lisboa (PT) |code:1059,,Film Festival,,Lisbonne,Portugal,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
"Mention honorable, meilleur court-métrage documentaire",,2019,Norwegian Short Film Festival  - Grimstad (NO) |code:1082,,Short Film Festival,,Grimstad,Norvège,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Prix Phil Solomon,,2019,,Chicago Underground,Film Festival,,Chicago,Etats-Unis,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Meilleur montage,,2019,,L'Acharnière,Film Festival,,Lille,France,Last year when the train passed by film de Pang-Chuan Huang |code:838,,
Edward Snowden Award,,2019,,Signes de Nuit,Film Festival,,,Thailande,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best short documentary,,2019,,GIFF,International Film Festival,,Guanajuto,Mexique,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Prix du jury ,multimédia,2019,,FLIP,Multimedia festival,,Parthenay,France,Plague installation de Damien Jibert |code:841,,
Best Film,My shorts competion,2019,,Queer Lisboa,,,Lisbonne,Portugal,Constanza film de Melisa Liebenthal |code:844,,
Honorary distinction for best sound design,,2019,,Greek Short,Film Festival,,Drama,Grèce,Sable noir film de Thanasis Trouboukis |code:861,,
Best documentary,,2019,,Smalls ,Film Festival,,Londres,Royaume-Unis,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Best documentary,competition internationale ,2019,,Eureka University ,Film Festival,,Bogota,Colombie,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Silver Sand Award,,2019,,La Ciotat Film Festival - Best Of,International Film Festival,Cinéma l'Eden,La Ciotat,France,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
Mention spéciale du jury,,2019,,Animatou,International Animation Festival,,Genève,Suisse,Swatted film de Ismaël Joffroy Chandoutis |code:842,,
